DATE,CSUSHPISA
6/1/2018,202.483
7/1/2018,203.124
8/1/2018,203.891
9/1/2018,204.456
10/1/2018,205.053
11/1/2018,205.465
12/1/2018,205.823
1/1/2019,206.199
2/1/2019,206.653
3/1/2019,207.277
4/1/2019,207.981
5/1/2019,208.647
6/1/2019,209.114
7/1/2019,209.653
8/1/2019,210.396
9/1/2019,211.053
10/1/2019,211.653
11/1/2019,212.457
12/1/2019,213.37
1/1/2020,214.387
2/1/2020,215.462
3/1/2020,216.715
4/1/2020,217.554
5/1/2020,217.81
6/1/2020,218.356
7/1/2020,219.899
8/1/2020,222.735
9/1/2020,225.954
10/1/2020,229.442
11/1/2020,232.656
12/1/2020,235.583
1/1/2021,238.53
2/1/2021,241.61
3/1/2021,245.547
4/1/2021,249.846
5/1/2021,254.382
6/1/2021,259.027
